Sate,Active Cases,Cured,Deaths
Andaman and Nicobar Islands,32,29,26
Andhra Pradesh,2,3,5
Arunachal Pradesh,29,26,30
Assam,10,9,17
Bihar,8,7,14
Chandigarh,24,26,22
Chhattisgarh,16,17,18
Dadra and Nagar Haveli and Daman and Diu,28,24,27
Delhi,13,4,4
Goa,18,17,18
Gujarat,9,7,5
Haryana,13,9,11
Himachal Pradesh,18,18,17
Jammu and Kashmir,13,12,10
Jharkhand,12,12,11
Karnataka,2,3,3
Kerala,7,9,10
Ladakh,16,15,13
Madhya Pradesh,9,8,5
Maharashtra,1,1,1
Manipur,11,11,11
Meghalaya,12,13,12
Mizoram,13,13,13
Nagaland,11,11,11
Odisha,4,5,7
Puducherry,8,8,8
Punjab,6,6,4
Rajasthan,5,5,4
Sikkim,7,7,7
Tamil Nadu,1,1,1
Telengana,3,3,3
Tripura,4,4,4
Uttarakhand,3,3,3
Uttar Pradesh,1,1,1
West Bengal,1,1,1
